מזהה,כותרת,כנסת מספר,אושר ב
7104,חוק דמי מחלה (היעדרות בשל מחלת ילד) תיקון - זקיפת ימי מחלה להורה של אדם עם מוגבלות,18,2013-12-02
6591,"חוק הביטוח הלאומי (תיקון מס"" 122) תיקון - דיווח על שינוי בפרטים המשפיעים על זכאות לגמלה",18,2010-11-01
3148,"חוק המזונות (הבטחת תשלום) תיקון - ביטול התניית מזונות ביציאה לחו""ל",18,2012-01-24
5406,חוק הנוער (טיפול והשגחה) תיקון מס' 20 הגנת קטין מפני פרסומים מזיקים,18,2011-08-03
6883,חוק הסדרת העיסוק במקצועות הבריאות תיקון מס' 3 הארכת המועד להגשת בקשות לפי הוראות המעבר,18,2012-07-25
3900,חוק העונשין תיקון מס' 112 העלאת גיל המושגח,18,2011-06-21
4234,חוק העונשין תיקון מס' 12 פיצוי לקטין שניזוק מעבירה,18,2012-02-07
7796,חוק זכויות התלמיד תיקון מס' 4 איסור הפליה מטעמי נטייה מינית וזהות מגדרית,18,2014-03-18
3003,חוק חובת המכרזים תיקון - חובת ייצוג הולם לאנשים עם מוגבלות,18,2016-08-04
2850,חוק יום העלייה חוק חדש,18,2016-06-21
5005,חוק לתיקון פקודת הרוקחים מס' 17 סימון ייעוד תרופה על אריזה של‬ תכשיר בלא מרשם,18,2010-07-21
6968,חוק לתיקון פקודת התעבורה הודעה בדבר נקודות,18,2014-07-30
6728,חוק סמכויות לשם שמירה על ביטחון הציבור תיקון - עבר פלילי,18,2014-03-03
3296,חוק עבודת נשים  72 ביולי 1102,18,2012-02-20
7104,חוק דמי מחלה (היעדרות בשל מחלת ילד) תיקון - זקיפת ימי מחלה להורה של אדם עם מוגבלות,19,2013-12-02
7648,חוק האומנה חוק חדש,19,2016-02-23
6591,"חוק הביטוח הלאומי (תיקון מס"" 122) תיקון - דיווח על שינוי בפרטים המשפיעים על זכאות לגמלה",19,2010-11-01
8149,חוק הודעה בדבר קבלה או אי-קבלה למקום עבודה חוק חדש,19,2014-12-08
7549,חוק הנוער (טיפול והשגחה) תיקון - חובת התקשורת עם הקטין והאחראי עליו בשפה המובנת להם,19,2014-02-10
8260,חוק הפסיכולוגים תיקון - הפרת חובת דיווח ופרסום החלטות ועדת המשמעת,19,2014-12-01
8138,חוק זכויות הדייר בדיור הציבורי תיקון - מתן מידע,19,2016-03-30
7796,חוק זכויות התלמיד תיקון מס' 4 איסור הפליה מטעמי נטייה מינית וזהות מגדרית,19,2014-03-18
3003,חוק חובת המכרזים תיקון - חובת ייצוג הולם לאנשים עם מוגבלות,19,2016-08-04
2850,חוק יום העלייה חוק חדש,19,2016-06-21
8405,חוק להגבלת כהונתו של מנהל מוסד חינוך תיקוני חקיקה,19,2016-06-29
7367,חוק למניעת הטרדה מינית תיקון - הפצת תצלומים בעלי תוכן מיני ללא הסכמת הצדדים,19,2014-01-06
6968,חוק לתיקון פקודת התעבורה הודעה בדבר נקודות,19,2014-07-30
7653,חוק לתיקון פקודת פשיטת הרגל הקצבה לזכאי למזונות,19,2014-03-18
7644,חוק מגבלות על חזרתו של עבריין מין לסביבת הנפגע תיקון - חיסיון חוות דעת מומחה,19,2014-06-09
6728,חוק סמכויות לשם שמירה על ביטחון הציבור תיקון - עבר פלילי,19,2014-03-03
7741,חוק עבודת נשים תיקון - חופשת אבהות,19,2016-06-27
9178,חוק הביטוח הלאומי תיקון - חישוב דמי לידה של עובדת עצמאית,20,2016-03-21
9248,חוק הדיור הציבורי (זכויות רכישה) תיקון - העלאת סכום המחיר הבסיסי,20,2016-02-02
3003,חוק חובת המכרזים תיקון - חובת ייצוג הולם לאנשים עם מוגבלות,20,2016-08-04
8894,חוק חופשה שנתית תיקון - הארכת תקופת החופשה לכל שנת עבודה אצל מעסיק,20,2016-02-08
2850,חוק יום העלייה חוק חדש,20,2016-06-21
9653,חוק כלי הירייה תיקון - הגבלת גיל למתן רשיונות לכלי ירייה,20,2016-08-02
8405,חוק להגבלת כהונתו של מנהל מוסד חינוך תיקוני חקיקה,20,2016-06-29
7741,חוק עבודת נשים תיקון - חופשת אבהות,20,2016-06-27
